fecha,muestreo,idplot,zona,x,y,tipoplot,observadores,positiva,heces,huellas,hozadas,suphozadam2,habitat,cobsd,anysign_tot,anysign_yn,hozadas_yn,huellas_yn,heces_yn,id,soiltype_rev
16/2/2022,FEB 22,P10,SUR,375451,6470143,EXTRA,MP-AdM,1,2,0,0,0,SIOSEL_PAJONAL,0,2,1,0,0,1,P10,7
10/8/2022,AGO 22,P11,SUR,378660,6469947,EXTRA,NM-RD,1,0,2,0,0,SIOSEL_PAJONAL,,2,1,0,1,0,P11,2
10/8/2021,AGO 21,P11,SUR,378660,6469947,EXTRA,AdM-JA,1,0,0,8,"0,458999991416931",SIOSEL_PAJONAL,5,8,1,1,0,0,P11,3
18/2/2022,FEB 22,P11,SUR,378660,6469947,EXTRA,AF-RD-SRV,1,0,0,1,"0,287999987602234",SIOSEL_PAJONAL,5,1,1,1,0,0,P11,7
9/2/2021,FEB 21,P11,SUR,378660,6469947,EXTRA,FS - VL - RD,0,0,0,0,0,SIOSEL_PAJONAL,5,0,0,0,0,0,P11,7
10/8/2021,AGO 21,P12,SUR,379963,6469823,EXTRA,AdM-AT,1,3,2,0,0,SIOSEL_PAJONAL,5,5,1,0,1,1,P12,3
10/8/2022,AGO 22,P12,SUR,379963,6469823,EXTRA,AT-SM,1,0,1,0,0,SIOSEL_PAJONAL,5,1,1,0,1,0,P12,7
18/2/2022,FEB 22,P12,SUR,379963,6469823,EXTRA,MP-AdM,0,0,0,0,0,SIOSEL_PAJONAL,5,0,0,0,0,0,P12,7
9/2/2021,FEB 21,P12,SUR,379963,6469823,EXTRA,NM - GN ,0,0,0,0,0,SIOSEL_PAJONAL,1,0,0,0,0,0,P12,7
16/2/2022,FEB 22,P13,SUR,376614,6469734,EXTRA,AF-RD,1,0,0,7,"3,98300004005432",SIOSEL_PAJONAL,20,7,1,1,0,0,P13,2
11/8/2021,AGO 21,P13,SUR,376614,6469734,EXTRA,AdM-AT,1,0,28,61,"13,0349998474121",SIOSEL_PAJONAL,65,89,1,1,1,0,P13,3
8/8/2022,AGO 22,P13,SUR,376614,6469734,EXTRA,AdM-GC,1,0,7,5,"0,157000005245209",SIOSEL_PAJONAL,20,12,1,1,1,0,P13,3
9/2/2021,FEB 21,P13,SUR,376614,6469734,EXTRA,NM - GN ,1,0,0,6,"2,48600006103516",SIOSEL_PAJONAL,1,6,1,1,0,0,P13,7
